subscriber,turbo,similarity,word_count,word_variety,emote_count,emote_variety,ban
1,0,0.0,5,0.4,4,0.25,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,17,1.0,0,1.0,0
1,0,0.0,3,1.0,0,1.0,0
1,0,0.0,6,1.0,1,1.0,0
1,0,0.0,1,1.0,1,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,7,1.0,0,1.0,0
1,0,0.0,4,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,8,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,2,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,1,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.2807017543859649,5,1.0,1,1.0,0
1,0,0.15384615384615385,1,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.2978723404255319,5,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,1,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,1,1.0,1,1.0,0
1,0,0.19047619047619047,9,0.8888888888888888,1,1.0,0
1,0,0.0,1,1.0,0,1.0,0
0,0,0.0,3,1.0,0,1.0,0
0,0,0.0,1,1.0,1,1.0,0
0,0,0.0,1,1.0,1,1.0,0
0,0,0.0,2,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
0,0,0.0,2,1.0,2,1.0,0
0,0,0.0,2,1.0,0,1.0,0
1,0,0.0,3,1.0,0,1.0,0
1,0,0.0,4,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
1,0,0.17391304347826086,2,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
0,0,0.0,2,1.0,0,1.0,0
1,0,0.0,3,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,4,1.0,1,1.0,0
1,0,0.0,1,1.0,1,1.0,0
0,0,0.0,5,1.0,0,1.0,0
0,0,0.0,3,1.0,1,1.0,0
0,0,0.0,2,1.0,2,1.0,0
0,0,0.0,4,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,2,1.0,1,1.0,0
1,1,0.0,2,1.0,2,1.0,0
1,0,1.0,1,1.0,0,1.0,0
1,1,0.0,2,1.0,0,1.0,0
0,0,0.0,9,0.3333333333333333,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,2,1.0,2,1.0,0
0,0,0.0,3,0.3333333333333333,3,0.3333333333333333,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.8666666666666667,2,1.0,2,1.0,0
0,0,0.0,1,1.0,1,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,2,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
1,0,0.3076923076923077,1,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,4,1.0,0,1.0,0
0,1,0.0,4,1.0,0,1.0,0
0,0,0.0,4,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,0,0.0,2,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
0,0,0.0,2,1.0,0,1.0,0
0,0,0.0,6,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,1,1.0,1,1.0,0
0,0,0.0,1,1.0,1,1.0,0
0,0,0.0,1,1.0,1,1.0,0
0,0,0.0,4,1.0,0,1.0,0
1,0,0.2,4,1.0,0,1.0,0
0,0,0.0,2,1.0,0,1.0,0
0,0,0.0,3,1.0,0,1.0,0
0,0,0.0,2,1.0,2,1.0,0
0,0,0.8666666666666667,2,1.0,2,1.0,0
0,0,0.0,1,1.0,0,1.0,0
1,1,0.8666666666666667,2,1.0,2,1.0,0
0,0,0.25,2,1.0,0,1.0,0
0,0,0.0,4,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,2,1.0,0,1.0,0
0,0,0.8666666666666667,2,1.0,2,1.0,0
1,0,0.0,1,1.0,0,1.0,0
0,0,0.0,3,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,2,0.5,2,0.5,0
0,0,0.0,5,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,3,0.6666666666666666,0,1.0,0
0,0,0.0,2,1.0,2,1.0,0
0,0,0.8666666666666667,2,1.0,2,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,2,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.95,5,1.0,0,1.0,0
1,0,0.10526315789473684,2,1.0,2,1.0,0
0,0,0.0,3,0.6666666666666666,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
1,0,0.34782608695652173,2,1.0,0,1.0,0
1,0,0.0,1,1.0,0,1.0,0
1,1,0.72,1,1.0,0,1.0,0
0,0,0.0,5,1.0,0,1.0,0
0,0,0.5454545454545454,1,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,9,1.0,0,1.0,0
0,0,0.0,5,1.0,0,1.0,0
1,0,0.0,5,0.4,5,0.4,0
1,0,0.125,4,0.25,4,0.25,0
1,0,0.0,1,1.0,0,1.0,0
0,0,0.0,2,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
0,0,0.0,1,1.0,0,1.0,0
